ENABLE,2009,19690306,138(14.83),69,134(15.361),74,QOL at 4 weeks
Temel,2011,20818875,21(3.9),60,19.3(4.2),47,QOL at 12 weeks
Zimmermann,2014,24559581,2.33(8.27),139,-0.51(7.62),139,Change in QOL at 12 weeks
